Size of Matrix,ClassicalMultiplication,DivideConquer,Strassen,"Note: each date indeicates the average time of 50 iteration,
milllisecond (ms);
second = 1000 ms; 
minutes = 60000 ms;"
2by2,0,0,0,less than 0 millisecond
4by4,0,0.020408163,0,
8by8,0,0.040816327,0.06122449,
16by16,0,0.408163265,0.469387755,
32by32,0.02040816,2.16326531,2.3877551,
64by64,0.204081633,14.59183673,13.75510204,
128by128,1.83673469,117.836735,97.1632653,
256by256,15.02040816,943.5714286,687.1020408,
512by512,117.591837,7458.57143,4712.67347,
1024by1024,2134.42857,59749.7959,33125.102,
2048by2048,15951.1429,477756.184,232192.898,
