Problem size, Algorithm1(Steepest Decent), Algorithm2(Conjugate Gradient), Algorithm3(QR Factorization )
2,0.06060606060606061,0.020202020202020204,0.020202020202020204
4,0.06060606060606061,0.010101010101010102,0.0
8,0.12121212121212122,0.04040404040404041,0.010101010101010102
16,0.18181818181818182,0.1111111111111111,0.010101010101010102
32,0.3333333333333333,0.29292929292929293,0.06060606060606061
64,0.9696969696969697,0.6868686868686869,0.3434343434343434
128,2.474747474747475,2.0202020202020203,2.494949494949495
256,8.8989898989899,6.838383838383838,19.838383838383837
512,35.90909090909091,26.474747474747474,157.58585858585857
1024,153.78787878787878,110.17171717171718,1254.878787878788
