512by512matrix calculation time, millisecond second (ms), (ex. second = 1000 ms; minutes = 60000 ms)
Times of iteration, Classical Multiplication, DivideConquer, Strassen
1,120.0,7436.0,4745.0,
2,114.0,7440.0,4724.0,
3,118.0,7443.0,4714.0,
4,118.0,7472.0,4692.0,
5,116.0,7477.0,4687.0,
6,118.0,7465.0,4702.0,
7,121.0,7462.0,4714.0,
8,117.0,7444.0,4736.0,
9,119.0,7429.0,4736.0,
10,118.0,7446.0,4719.0,
11,122.0,7464.0,4704.0,
12,114.0,7478.0,4682.0,
13,116.0,7460.0,4682.0,
14,122.0,7454.0,4707.0,
15,116.0,7432.0,4712.0,
16,124.0,7428.0,4748.0,
17,119.0,7432.0,4723.0,
18,115.0,7448.0,4722.0,
19,122.0,7471.0,4693.0,
20,117.0,7451.0,4681.0,
21,116.0,7457.0,4689.0,
22,120.0,7450.0,4705.0,
23,113.0,7431.0,4719.0,
24,121.0,7415.0,4731.0,
25,116.0,7435.0,4705.0,
26,115.0,7433.0,4701.0,
27,116.0,7458.0,4677.0,
28,117.0,7448.0,4677.0,
29,116.0,7452.0,4696.0,
30,123.0,7430.0,4708.0,
31,119.0,7418.0,4737.0,
32,116.0,7416.0,4719.0,
33,119.0,7436.0,4709.0,
34,128.0,7485.0,4698.0,
35,111.0,7534.0,4709.0,
36,122.0,7509.0,4717.0,
37,116.0,7459.0,4737.0,
38,110.0,7487.0,4753.0,
39,121.0,7446.0,4744.0,
40,114.0,7456.0,4725.0,
41,118.0,7504.0,4700.0,
42,115.0,7479.0,4700.0,
43,119.0,7476.0,4728.0,
44,113.0,7471.0,4758.0,
45,119.0,7482.0,4738.0,
46,113.0,7443.0,4713.0,
47,120.0,7469.0,4692.0,
48,116.0,7481.0,4702.0,
49,112.0,7494.0,4727.0,
50,122.0,7520.0,4729.0,

Average time, 117.59183673469387,7458.571428571428,4712.673469387755
