128by128matrix calculation time, millisecond second (ms), (ex. second = 1000 ms; minutes = 60000 ms)
Times of iteration, Classical Multiplication, DivideConquer, Strassen
1,2.0,118.0,98.0,
2,2.0,117.0,96.0,
3,2.0,116.0,96.0,
4,1.0,130.0,96.0,
5,2.0,116.0,98.0,
6,1.0,116.0,97.0,
7,2.0,116.0,97.0,
8,2.0,115.0,98.0,
9,2.0,120.0,113.0,
10,2.0,116.0,97.0,
11,2.0,115.0,95.0,
12,2.0,116.0,94.0,
13,1.0,124.0,96.0,
14,2.0,115.0,100.0,
15,2.0,120.0,101.0,
16,2.0,120.0,94.0,
17,1.0,116.0,96.0,
18,2.0,115.0,96.0,
19,2.0,116.0,95.0,
20,2.0,116.0,96.0,
21,1.0,117.0,95.0,
22,1.0,123.0,96.0,
23,2.0,119.0,100.0,
24,2.0,116.0,95.0,
25,2.0,123.0,101.0,
26,2.0,115.0,98.0,
27,2.0,124.0,97.0,
28,2.0,118.0,97.0,
29,2.0,125.0,98.0,
30,1.0,118.0,97.0,
31,2.0,117.0,97.0,
32,2.0,118.0,96.0,
33,2.0,118.0,102.0,
34,2.0,116.0,97.0,
35,2.0,115.0,95.0,
36,1.0,116.0,96.0,
37,2.0,116.0,96.0,
38,2.0,115.0,97.0,
39,2.0,119.0,98.0,
40,2.0,121.0,98.0,
41,2.0,120.0,98.0,
42,2.0,118.0,99.0,
43,2.0,118.0,98.0,
44,2.0,120.0,96.0,
45,2.0,116.0,96.0,
46,2.0,115.0,96.0,
47,2.0,115.0,96.0,
48,2.0,116.0,95.0,
49,2.0,116.0,95.0,
50,2.0,116.0,95.0,

Average time, 1.836734693877551,117.83673469387755,97.16326530612245
