64by64matrix calculation time, millisecond second (ms), (ex. second = 1000 ms; minutes = 60000 ms)
Times of iteration, Classical Multiplication, DivideConquer, Strassen
1,0.0,16.0,16.0,
2,0.0,17.0,16.0,
3,1.0,17.0,14.0,
4,1.0,14.0,14.0,
5,0.0,15.0,13.0,
6,0.0,14.0,15.0,
7,0.0,15.0,15.0,
8,0.0,15.0,15.0,
9,0.0,15.0,14.0,
10,0.0,15.0,14.0,
11,0.0,14.0,14.0,
12,0.0,14.0,14.0,
13,1.0,14.0,14.0,
14,0.0,14.0,14.0,
15,0.0,16.0,13.0,
16,1.0,14.0,14.0,
17,0.0,14.0,14.0,
18,0.0,15.0,13.0,
19,0.0,15.0,14.0,
20,0.0,14.0,14.0,
21,0.0,15.0,14.0,
22,0.0,14.0,14.0,
23,0.0,14.0,14.0,
24,0.0,15.0,14.0,
25,0.0,15.0,13.0,
26,1.0,14.0,13.0,
27,0.0,15.0,13.0,
28,1.0,14.0,13.0,
29,0.0,14.0,14.0,
30,0.0,15.0,13.0,
31,0.0,15.0,14.0,
32,0.0,14.0,14.0,
33,0.0,14.0,15.0,
34,0.0,15.0,13.0,
35,0.0,15.0,13.0,
36,1.0,14.0,13.0,
37,1.0,14.0,14.0,
38,0.0,14.0,14.0,
39,0.0,15.0,14.0,
40,0.0,14.0,14.0,
41,0.0,14.0,14.0,
42,0.0,15.0,13.0,
43,1.0,14.0,13.0,
44,0.0,15.0,13.0,
45,0.0,15.0,14.0,
46,0.0,14.0,13.0,
47,1.0,14.0,13.0,
48,0.0,14.0,14.0,
49,0.0,15.0,13.0,
50,0.0,15.0,13.0,

Average time, 0.20408163265306123,14.591836734693878,13.755102040816327
