Problem size, Algorithm1(Newton), Algorithm2(Broyden Jacobi), Algorithm3(Good Broyden Jacobi )
2,0.04040404040404041,0.31313131313131315,0.31313131313131315
4,0.030303030303030304,0.2222222222222222,0.20202020202020202
8,0.050505050505050504,0.8282828282828283,0.7878787878787878
16,0.13131313131313133,1.9191919191919191,1.303030303030303
32,0.18181818181818182,8.777777777777779,4.909090909090909
64,1.3232323232323233,71.83838383838383,30.838383838383837
128,9.636363636363637,550.989247311828,130.20618556701032
256,87.4040404040404,4065.2597402597403,596.8045977011494
512,768.8383838383838,33508.126760563384,3267.3291139240505
1024,8463.858585858587,356078.0338983051,13950.014084507042
